"날짜","현재가","오픈","고가","저가","거래량","변동 %"
"2015년 06월 09일","253.51","253.78","255.06","252.68","79.05K","-0.28%"
"2015년 06월 08일","254.21","254.87","254.87","253.34","84.66K","-0.29%"
"2015년 06월 05일","254.94","254.09","256.12","254.00","94.58K","-0.21%"
"2015년 06월 04일","255.47","255.40","257.04","254.34","101.27K","0.54%"
"2015년 06월 03일","254.11","256.54","257.44","253.51","104.07K","-0.85%"
"2015년 06월 02일","256.29","258.80","259.49","255.91","114.42K","-0.95%"
"2015년 06월 01일","258.74","259.84","260.00","257.13","80.71K","-0.63%"
"2015년 05월 29일","260.39","259.88","261.91","259.47","106.34K","0.13%"
"2015년 05월 28일","260.06","261.13","261.93","260.06","93.50K","-0.04%"
"2015년 05월 27일","260.16","263.90","264.22","259.72","103.09K","-1.98%"
"2015년 05월 26일","265.41","265.96","266.16","263.82","100.61K","-0.23%"
"2015년 05월 22일","266.03","263.66","266.03","263.28","99.74K","1.28%"
"2015년 05월 21일","262.66","265.20","265.38","262.41","84.42K","-1.02%"
"2015년 05월 20일","265.36","263.79","265.54","263.43","92.55K","0.93%"
"2015년 05월 19일","262.92","261.84","263.97","261.04","87.59K","0.36%"
"2015년 05월 18일","261.97","261.28","261.97","260.45","81.47K","0.24%"
"2015년 05월 15일","261.33","265.24","265.51","261.09","82.26K","-0.89%"
"2015년 05월 14일","263.69","263.18","263.88","262.63","74.92K","0.17%"
"2015년 05월 13일","263.25","261.82","263.65","261.73","73.27K","0.70%"
"2015년 05월 12일","261.42","262.12","262.35","260.52","78.81K","-0.03%"
"2015년 05월 11일","261.49","263.45","263.88","261.49","71.25K","0.26%"
"2015년 05월 08일","260.81","262.11","262.72","260.81","69.31K","-0.63%"
"2015년 05월 07일","262.47","263.11","263.49","260.10","97.36K","-0.59%"
"2015년 05월 06일","264.03","265.96","266.18","263.09","103.58K","-1.23%"
"2015년 05월 04일","267.33","267.57","268.56","266.99","81.08K","0.34%"
"2015년 04월 30일","266.42","267.04","267.57","265.85","106.98K","-0.60%"
